confidence,entropy,probability_AD,is_member
0.8610852,0.40298867,0.8610852,1
0.9235318,0.27005765,0.9235318,1
0.98497456,0.07798894,0.98497456,1
0.8939725,0.3381284,0.8939725,1
0.8875446,0.3516184,0.8875446,1
0.9785377,0.10367686,0.021462303,1
0.9444662,0.21449757,0.05553382,1
0.90740097,0.30851015,0.90740097,1
0.9224085,0.27284718,0.9224085,1
0.9490788,0.20121875,0.050921183,1
0.9006263,0.32370463,0.09937368,1
0.95546,0.18211326,0.044539962,1
0.8955548,0.33474177,0.8955548,1
0.9224545,0.27273336,0.9224545,1
0.9819778,0.09023854,0.018022157,1
0.8841398,0.35859483,0.11586023,1
0.9724572,0.12609427,0.027542856,1
0.91207606,0.29770806,0.08792392,1
0.8628745,0.39971095,0.13712552,1
0.8995833,0.32599765,0.8995833,1
0.91344154,0.29450223,0.08655848,1
0.9265572,0.2624548,0.07344284,1
0.9439023,0.21609236,0.056097697,1
0.9598198,0.16851643,0.9598198,1
0.934642,0.2414625,0.06535798,1
0.9439886,0.2158486,0.056011364,1
0.94570726,0.21096602,0.054292742,1
0.93590474,0.23809016,0.93590474,1
0.97594225,0.11343641,0.97594225,1
0.90747243,0.30834702,0.90747243,1
0.8960142,0.3337534,0.8960142,1
0.9423451,0.2204656,0.9423451,1
0.9845583,0.079724364,0.9845583,1
0.9457851,0.21074353,0.9457851,1
0.8918752,0.3425767,0.10812479,1
0.93805784,0.23227835,0.061942164,1
0.9505255,0.19696495,0.9505255,1
0.97182584,0.12833694,0.97182584,1
0.95436615,0.18545291,0.045633838,1
0.92716676,0.26090676,0.92716676,1
0.9750233,0.1168213,0.024976645,1
0.93517554,0.2400409,0.06482449,1
0.9141555,0.29281664,0.08584451,1
0.9350703,0.24032168,0.06492971,1
0.81357986,0.4809903,0.81357986,1
0.9399155,0.2272,0.06008451,1
0.86863023,0.38898233,0.86863023,1
0.9278056,0.25927854,0.9278056,1
0.9358547,0.23822437,0.9358547,1
0.8429237,0.43478978,0.8429237,1
0.98156965,0.091865845,0.018430369,1
0.9251,0.26613307,0.9251,1
0.90995425,0.30264366,0.09004575,1
0.9559876,0.18049265,0.044012442,1
0.89785117,0.32977894,0.102148846,1
0.8776235,0.37163344,0.8776235,1
0.9804948,0.09610708,0.019505177,1
0.9803299,0.09675244,0.0196701,1
0.9510778,0.19532937,0.9510778,1
0.89685225,0.33194473,0.10314774,1
0.9438338,0.21628562,0.9438338,1
0.93794453,0.23258616,0.93794453,1
0.93504745,0.24038258,0.06495255,1
0.95640826,0.17919554,0.04359175,1
0.9438484,0.2162446,0.9438484,1
0.9625186,0.15985566,0.037481423,1
0.9582133,0.17358133,0.04178669,1
0.9500313,0.19842315,0.9500313,1
0.78033817,0.52647966,0.21966185,0
0.94157654,0.22260743,0.058423474,0
0.64716107,0.6491864,0.64716107,0
0.83773726,0.443403,0.16226272,0
0.57291657,0.68247557,0.57291657,0
0.97058886,0.1326893,0.029411165,0
0.8457934,0.42993698,0.15420659,0
0.76745343,0.54233515,0.23254655,0
0.9658699,0.14881791,0.034130096,0
0.9853553,0.076391265,0.014644657,0
0.8124095,0.48271024,0.18759051,0
0.6860899,0.6221936,0.31391016,0
0.845266,0.43083358,0.845266,0
0.9271588,0.26092708,0.9271588,0
0.9210958,0.2760849,0.07890423,0
0.5833948,0.6791726,0.5833948,0
